1;2229797;262816;;16 PCS POWER LED 12V-24V AMBER,;NIGHTBRK;355245A;LED;ASIAREP, PT;JAKARTA, INDONESIA;EACH;Rp1.291.580;Rp1.291.580;Rp1.291.580;1;WARRANTY
2;1859297;2000081;;LED LAMP;ALLMAKES;MIL-RXP 2060;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp9.436.095;Rp9.436.095;Rp9.436.095;4;WARRANTY
3;1637537;1966266;;LED LAMP;ALLMAKES;AM-PL4X4FA;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.587.878;Rp1.587.878;Rp1.587.878;4;WARRANTY
4;1527829;1969336;;LED LOADING LAMP, CLEAR/FLOOD;ABL;A500F-5LED;LED;CBC INDONESIA, PT;JAKARTA, INDONESIA;EACH;Rp2.188.080;Rp2.188.080;Rp2.188.080;3;WARRANTY
5;1774835;1969351;;LED LOADING LAMP, FLOOD;ABL;LED3000-500-MVF;LED;CBC INDONESIA, PT;JAKARTA, INDONESIA;EACH;Rp4.011.480;Rp4.011.480;Rp4.011.480;3;WARRANTY
6;1527811;1967926;;LED LOADING LAMP, FOG/YELLOW;ABL;A500FOG-5LED;LED;CBC INDONESIA, PT;JAKARTA, INDONESIA;EACH;Rp2.188.080;Rp2.188.080;Rp2.188.080;3;WARRANTY
7;2013498;2041200;;"LED WORK LAMP; 8 LED LAMP, FLUX 1200 LUMEN, 16W,, FLOOD";ABL;C700LED1200-F;LED;CBC INDONESIA, PT;JAKARTA, INDONESIA;EACH;Rp1.337.160;Rp1.337.160;Rp1.337.160;3;WARRANTY
8;1393552;233274;;LED REAR COMBINATION LAMP LH;ALLMAKES;AM-AE04-498LH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.804.406;Rp1.804.406;Rp1.804.406;1;WARRANTY
9;1913581;2061166;;LED STROBE LAMP AMBER;ALLMAKES;AM-PL4223-AH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.631.183;Rp1.631.183;Rp1.631.183;4;WARRANTY
10;1469667;2011955;;LED STROBE LAMP BLUE;ALLMAKES;AM-PL4223-BH;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.631.183;Rp1.631.183;Rp1.631.183;4;WARRANTY
11;1096809;2207645;;LED STROBE LIGHT BLUE;ECCO;7980B;LED;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp1.245.990;Rp1.245.990;Rp1.245.990;2;WARRANTY
12;1427574;241806;;LED STROBE LIGHTS;PRIMER;PL4224-BH;LED;INDOPRIMA MANDIRI UTAMA, CV;TANGERANG, BANTEN;EACH;Rp1.139.478;Rp1.139.478;Rp1.139.478;4;WARRANTY
13;1389592;262815;;"LED WORK LAMP (AM-PL4X4F); LED WORK LAMP";UTPRT;99-AX01-00;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.587.878;Rp1.587.878;Rp1.587.878;;WARRANTY
14;1642693;259449;;LED WORK LAMP;ALLMAKES;AM-PL9833;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp5.405.317;Rp5.405.317;Rp5.405.317;4;WARRANTY
15;1642693;1967868;;LED WORK LAMP;ALLMAKES;AM-PL9833;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp5.405.317;Rp5.405.317;Rp5.405.317;4;WARRANTY
16;1841634;262819;;LED WORK LAMP 8000 LUMENS;ALLMAKES;AM-TP231-WF;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp8.778.152;Rp8.778.152;Rp8.778.152;;WARRANTY
17;2212181;2276418;;LED WORK LAMP;ALLMAKES;AM-PL9850;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.671.450;Rp1.671.450;Rp1.671.450;4;WARRANTY
18;254722;2059780;;LIGHT, WARNING BLUE COLOUR;ECCO;6570B;LED;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp1.154.820;Rp1.154.820;Rp1.154.820;2;WARRANTY
19;254706;2059764;;LIGHT, WARNING YELLOW COLOUR;ECCO;6570A;LED;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp1.154.820;Rp1.154.820;Rp1.154.820;2;WARRANTY
20;507103;254914;;BACK UP ALARM 12 - 36V;ECCO;630;ALARM;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp349.490;Rp349.490;Rp349.490;1;WARRANTY
21;639617;262823;;BACK UP ALARM  12 TO 24 V DC;ECCO;5596311;ALARM;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp277.310;Rp277.310;Rp277.310;1;WARRANTY
22;1928126;2296564;;BATTERY DRY 70AH;ALLMAKES;AM-MFN70;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.369.070;Rp1.369.070;Rp1.369.070;;WARRANTY
23;2211852;2212462;;BATTERY DRY N170;ALLMAKES;AM-MFN670-18-HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp3.463.700;Rp3.463.700;Rp3.463.700;;WARRANTY
24;1537323;231715;;BATTERY MF 100AH;ALLMAKES;AM-MFN100;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.495.492;Rp1.495.492;Rp1.495.492;;WARRANTY
25;1979897;2036408;;BATTERY MF 200 ALLMAKES;ALLMAKES;AM-MFN200HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp3.621.120;Rp3.621.120;Rp3.621.120;2;WARRANTY
26;1523109;2062222;;BATTERY N150;ALLMAKES;AM-MFN150;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp2.746.800;Rp2.746.800;Rp2.746.800;;WARRANTY
27;1781038;1969385;;BATTERY, STORAGE HD 200;ALLMAKES;AM-N200HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.860.932;Rp1.860.932;Rp1.860.932;;WARRANTY
28;1793439;2002715;;BATTERY, STORAGE N150;ALLMAKES;AM-N150HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.459.328;Rp1.459.328;Rp1.459.328;;WARRANTY
29;1793421;2002707;;BATTERY, STORAGE 12V, 100A, 17PCS/CELL;ALLMAKES;AM-N100HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp900.912;Rp900.912;Rp900.912;;WARRANTY
30;1815059;2155778;;BATTERY, STORAGE HEAVY DUTY N12;ALLMAKES;AM-N120HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.116.833;Rp1.116.833;Rp1.116.833;;WARRANTY
31;1793413;2002699;;BATTERY, STORAGE N70, 12V, 70A, 13PCS/CE;ALLMAKES;AM-N70HD;BATERAI;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp673.594;Rp673.594;Rp673.594;;WARRANTY
32;1067875;2041812;;"DIAPRAGHM PUMP 2""";GRACO;DF3525;DIAPRAGHM PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp18.917.015;Rp18.917.015;Rp18.917.015;;WARRANTY
33;1067867;2002616;;"DIAPRAGM PUMP 1-1/2""";GRACO;DB3525;DIAPRAGHM PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp14.138.948;Rp14.138.948;Rp14.138.948;;WARRANTY
34;1067842;231721;;"DIAPRAGM PUMP 1040, 1"" OIL TRANSFER";GRACO;647016;DIAPRAGHM PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp12.401.703;Rp12.401.703;Rp12.401.703;;WARRANTY
35;1987700;231717;;DIAPRAGMA PUMP;ALLMAKES;D51277;DIAPRAGHM PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp10.992.823;Rp10.992.823;Rp10.992.823;;WARRANTY
36;1067784;2041796;;FIRE BALL PUMP 50:1 (425);GRACO;205395;FIRE BALL;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp38.154.949;Rp38.154.949;Rp38.154.949;;WARRANTY
37;1067776;233403;;FIRE BALL PUMP 50:1 (325);GRACO;239888;FIRE BALL;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp14.256.253;Rp14.256.253;Rp14.256.253;;WARRANTY
38;1374065;2002624;;GREASE PUMP;GRACO;247450;GREASE PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp45.627.090;Rp45.627.090;Rp45.627.090;;WARRANTY
39;1522325;231719;;GREASE PUMP;GRACO;247443;GREASE PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp45.221.840;Rp45.221.840;Rp45.221.840;;WARRANTY
40;1305275;233404;;GREASE PUMP;GRACO;247457;GREASE PUMP;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp67.200.951;Rp67.200.951;Rp67.200.951;;WARRANTY
41;262733;259449;;"LED WORK LAMP; LED WORK LAMP";ALLMAKES;37-AX01-00;LED;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp968.073;Rp968.073;Rp968.073;;WARRANTY
42;1295583;262811;;LED GLOBES;PRIMER - PRIMER LIGHTS PRODUCT;T18-01BA15-S-5LED;LED;INDOPRIMA MANDIRI UTAMA, CV;TANGERANG, BANTEN;EACH;Rp60.481;Rp60.481;Rp60.481;;WARRANTY
43;2165488;262813;;LED INSPECTION LAMP;HELLA - HELLA AUSTRALIA PTY LTD;2XM910412011;LED;CBC INDONESIA, PT;JAKARTA, INDONESIA;EACH;Rp1.016.260;Rp1.016.260;Rp1.016.260;;WARRANTY
44;284745;233274;;STOP LIGHT-TAILLIGHT, VEHICULAR;PRIMER;AE-04-498LH;LED;INDOPRIMA MANDIRI UTAMA, CV;TANGERANG, BANTEN;EACH;Rp1.156.412;Rp1.156.412;Rp1.156.412;2;WARRANTY
45;1389592;1966233;;LED WORK LAMP DAMAGE CORE;ALLMAKES;AM-PL4X4F;;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.633.335;Rp1.633.335;Rp1.633.335;;WARRANTY
46;1469964;2002640;;PDU, SAFETY DEVICE (1 TAHUN);ALLMAKES;PDU-24HS-HD;;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp28.806.090;Rp28.806.090;Rp28.806.090;;WARRANTY
47;1215276;1969393;;BATTERY DRY N200 EX WARRANTY;CAT;153-5710-R;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp8.540.233;Rp8.540.233;Rp8.540.233;;WARRANTY
48;1797174;2047090;;WORK LAMP LED WARRANTY;NICAR;56365;;GENERAL M, PT;JAKARTA, INDONESIA;EACH;Rp1.030.800;Rp1.030.800;Rp1.030.800;;WARRANTY
49;1543479;1967876;;COVERTER DC 24-12 EX WARRANTY;ALLMAKES;A2412-25E;;BINA PERTIWI, PT;BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp2.777.607;Rp2.777.607;Rp2.777.607;;WARRANTY
50;87767;1967918;;PUMPING UNIT,PRESSURE LUBRICATING;VOGEL;KFG5-10 LTR;;BATAVIA PETRO CHEMICAL, PT;JAKARTA, INDONESIA;EACH;Rp14.919.840;Rp14.919.840;Rp14.919.840;;WARRANTY
51;1096791;244313;;LED STROBE LIGHT AMBER;ECCO;7980A;;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;ASSY;Rp1.281.660;Rp1.281.660;Rp1.281.660;;WARRANTY
52;1480177;1967959;;STROBE LIGHT;ECCO;7960A;;BERKAT ANUGRAH PERKASA, PT;BALIKPAPAN, KALIMANTAN;EACH;Rp1.655.690;Rp1.655.690;Rp1.655.690;;WARRANTY
53;230660;259640;;"INJECTOR GP; INJECTOR GP";CAT;11R0276;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp4.486.018,00;Rp16.260.843,00;Rp20.746.861,00;21 Days after PO;BUY BACK
54;230890;264190;;"HEAD GP CYLINDER; HEAD GP CYLINDER FULL CORE DEPOSIT; CYLINDER HEAD EX RECONDITION; UNIT MF420E";CAT;20R3929;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp123.970.697,00;Rp105.375.092,00;Rp229.345.789,00;21 Days after PO;BUY BACK
55;232393;259653;;"TURBO GP-BAS; TURBO GP-BAS";CAT;11R0229;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp22.904.516,00;Rp83.029.845,00;Rp105.934.361,00;21 Days after PO;BUY BACK
56;233931;259715;;"OIL PUMP; OIL PUMP";CAT;11R0406;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp8.717.246,00;Rp31.600.434,00;Rp40.317.680,00;21 Days after PO;BUY BACK
57;235072;259610;;"OIL COOLER; OIL COOLER";CAT;11R0381;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp7.790.778,00;Rp28.241.291,00;Rp36.032.069,00;21 Days after PO;BUY BACK
58;236708;259598;;"INJECTOR; INJECTOR";CAT;11R0268;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp4.486.018,00;Rp16.260.843,00;Rp20.746.861,00;21 Days after PO;BUY BACK
59;239585;259699;;"ARM AS. UI; ARM AS. UI";CAT;11R1082;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.451.222,00;Rp5.260.957,00;Rp6.712.179,00;21 Days after PO;BUY BACK
60;239587;259686;;"ARM AS. V-RK; ARM AS. V-RK";CAT;11R1083;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.080.154,00;Rp3.915.279,00;Rp4.995.433,00;21 Days after PO;BUY BACK
61;239981;259735;;"PUMP G-WATER; PUMP G-WATER";CAT;11R0399;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp7.680.509,00;Rp27.841.983,00;Rp35.522.492,00;21 Days after PO;BUY BACK
62;255078;259703;;TURBO GP BAS;CAT;11R0231;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;#N/A;Rp18.106.471,00;Rp54.320.013,00;Rp72.426.484,00;21 Days after PO;BUY BACK
63;477356;264201;;"SWITCH AS; SWITCH AS (ELECTRONIC SPEED)";CAT;11R0994;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp3.988.306,00;Rp14.458.026,00;Rp18.446.332,00;21 Days after PO;BUY BACK
64;647693;259719;;"STARTING MOTOR; STARTING MOTOR";CAT;10R1914;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp18.510.811,00;Rp18.511.368,00;Rp37.022.179,00;21 Days after PO;BUY BACK
65;683284;259718;;"NOZZLE; NOZZLE";CAT;20R1941;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp2.329.016,00;Rp519.044,00;Rp2.848.060,00;21 Days after PO;BUY BACK
66;809020;867978;;"ENGINE; ENGINE";CAT;1953816;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp2.948.650.893,00;Rp2.001.829.773,00;Rp4.950.480.666,00;21 Days after PO;BUY BACK
67;809046;867994;;"TRANSMISSION; TRANSMISSION";CAT;8E9035;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp1.801.618.402,00;Rp630.838.755,00;Rp2.432.457.157,00;21 Days after PO;BUY BACK
68;1079185;1819085;;"INJECTOR ASSY; FOR REEDRILL D245S, , ,";CAT;20R1915;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp6.686.587,00;Rp8.914.799,00;Rp15.601.386,00;21 Days after PO;BUY BACK
69;1079185;1819101;;"INJECTOR ASSY; FOR REEDRILL D245S";CAT;10R1266;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp6.686.587,00;Rp8.914.799,00;Rp15.601.386,00;21 Days after PO;BUY BACK
70;1081249;259627;;"TURBOCHARGER; TURBOCHARGER";CAT;0R7219;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp15.682.209,00;Rp47.046.027,00;Rp62.728.236,00;21 Days after PO;BUY BACK
71;1088319;259680;;"WATER PUMP REMAN; WATER PUMP REMAN";CAT;10R0484;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp13.413.436,00;Rp2.979.361,00;Rp16.392.797,00;21 Days after PO;BUY BACK
72;1112333;259665;;"STEERING CYL GP; STEERING CYL GP, , ,";CAT;1411924;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp52.686.863,00;Rp24.579.130,00;Rp77.265.993,00;21 Days after PO;BUY BACK
73;1130376;1130384;;"WATER PUMP; WATER PUMP ASSY";CAT;0R4680;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;#N/A;Rp17.281.257,00;Rp3.840.180,00;Rp21.121.437,00;21 Days after PO;BUY BACK
74;1165133;259733;;"ALTERNATOR; ALTERNATOR";CAT;0R3745;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp20.991.938,00;Rp30.402.045,00;Rp51.393.983,00;21 Days after PO;BUY BACK
75;1220060;259628;;"OIL COOLER; OIL COOLER,";CAT;0R5513;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp13.944.799,00;Rp20.196.321,00;Rp34.141.120,00;21 Days after PO;BUY BACK
76;1244078;2264281;;"INJECTOR GP FUEL  REMAN; INJECTOR GP FUEL REMAN, , ,";CAT;20R2284;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp5.722.862,00;Rp15.450.753,00;Rp21.173.615,00;21 Days after PO;BUY BACK
77;1244086;259601;;"TURBO GP REMAN; TURBO GP REMAN";CAT;10R2657;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp18.106.471,00;Rp54.320.013,00;Rp72.426.484,00;21 Days after PO;BUY BACK
78;1298629;259682;;"ENGINE; ENGINE FOR CAT-24H LONG BLOCK";CAT;0R9360;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp471.486.853,00;Rp1.150.362.966,00;Rp1.621.849.819,00;21 Days after PO;BUY BACK
79;1363910;259690;;"INJECTOR; INJECTOR FOR CAT";CAT;10R3265;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp5.722.862,00;Rp15.450.753,00;Rp21.173.615,00;21 Days after PO;BUY BACK
80;1438134;1778372;;"ECM; CONTROL GP; ECM; CONTROL GP";CAT;10R4088;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;#N/A;Rp26.311.432,00;Rp52.623.016,00;Rp78.934.448,00;21 Days after PO;BUY BACK
81;1509868;259651;;"HOIST CYLINDER; HOIST CYLINDER";CAT;2767646;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp125.681.216,00;Rp21.588.802,00;Rp147.270.018,00;21 Days after PO;BUY BACK
82;1529007;259647;;"ARM; ARM";CAT;10R1365;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.407.204,00;Rp1.876.373,00;Rp3.283.577,00;21 Days after PO;BUY BACK
83;1616473;259623;;"CONTROL GP; CONTROL GP";CAT;10R5648;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp12.898.297,00;Rp34.824.986,00;Rp47.723.283,00;21 Days after PO;BUY BACK
84;1696848;259631;;"HEAD GP CYL; HEAD GP CYL";CAT;0R8516;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp38.395.333,00;Rp88.446.669,00;Rp126.842.002,00;21 Days after PO;BUY BACK
85;1696863;259712;;"CYL PACK; CYL PACK";CAT;10R8409;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp9.631.996,00;Rp15.801.939,00;Rp25.433.935,00;21 Days after PO;BUY BACK
86;1721877;259641;;"ROCKER ARM; ROCKER ARM";CAT;20R2159;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp1.407.204,00;Rp1.876.373,00;Rp3.283.577,00;21 Days after PO;BUY BACK
87;1731397;259673;;"CONTROL GP; CONTROL GP";CAT;20R2065;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp26.311.432,00;Rp52.623.016,00;Rp78.934.448,00;21 Days after PO;BUY BACK
88;1731991;259707;;"PUMPGP-F XFR; PUMPGP-F XFR";CAT;10R8714;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp2.158.955,00;Rp6.478.369,00;Rp8.637.324,00;21 Days after PO;BUY BACK
89;1771393;259674;;"TURBO; REMAN";CAT;20R1976;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp15.682.209,00;Rp47.046.027,00;Rp62.728.236,00;21 Days after PO;BUY BACK
90;1953447;259612;;"OIL COOLER; OIL COOLER";CAT;20R2112;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp13.944.799,00;Rp20.196.321,00;Rp34.141.120,00;21 Days after PO;BUY BACK
91;2016848;259692;;"HEAD GP ï¿½ CYL; CYLINDER HEAD";CAT;20R0503;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp74.381.277,00;Rp116.737.111,00;Rp191.118.388,00;21 Days after PO;BUY BACK
92;2063923;259591;;"TURBOCHARGHER; TURBOCHARGHER";CAT;10R2301;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;ASSY;Rp36.658.824,00;Rp69.308.332,00;Rp105.967.156,00;21 Days after PO;BUY BACK
93;2278406;264199;;"TURBO GP BAS; TURBO GP BAS; Full Core Deposit";CAT;11R0218;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp22.904.516,00;Rp83.029.845,00;Rp105.934.361,00;21 Days after PO;BUY BACK
94;2282085;259620;;"MOTOR-PUMP, HYDRAULIC; MOTOR GP PST FULL CORE DEPOSIT UNIT SK50";CAT;11R0790;;TRAKINDO UTAMA, PT (BLP);BATU KAJANG, KALIMANTAN TIMUR;EACH;Rp36.407.339,00;Rp131.976.049,00;Rp168.383.388,00;21 Days after PO;BUY BACK
